# Pathway	SGP033296	SGP033297	SGP033298	SGP033299	SGP033300	SGP033301	SGP033302	SGP033303	SGP033304	SGP033305	SGP033306	SGP033307	SGP033308	SGP033309	SGP033310	SGP033311	SGP033312	SGP033313	SGP033314	SGP033315	SGP033316	SGP033317	SGP033318	SGP033319	SGP033320	SGP033321	SGP033322	SGP033323	SGP033324	SGP033325	SGP033326	SGP033327	SGP033328	SGP033329	SGP033330	SGP033331	SGP033332	SGP033333	SGP033334	SGP033335	SGP033336	SGP033337	SGP033338	SGP033339	SGP033340	SGP033341	SGP033342	SGP033343	SGP033344	SGP033345	SGP033346	SGP033347	SGP033348	SGP033349	SGP033350	SGP033351	SGP033352	SGP033353	SGP033354	SGP033355	SGP033356	SGP033357	SGP033358	SGP033359	SGP033360	SGP033361	SGP039575	SGP039576	SGP039577	SGP039578	SGP039579	SGP039580	SGP039581	SGP039582	SGP039583	SGP039584	SGP039585	SGP039586	SGP039587	SGP039588	SGP039589	SGP039590	SGP039591	SGP039592	SGP039593	SGP039594	SGP039595	SGP039596	SGP039597	SGP039598	SGP039599	SGP039600	SGP039601	SGP039602	SGP039603	SGP039604	SGP039605	SGP039606	SGP039607	SGP039608	SGP039609	SGP039610	SGP039611	SGP039612
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	19.1275	0	14.1223	2.29662	6.28962	9.54209	1256.74	0	0	0	327.504	61.0869	8.45902	0	83.6546	0	0	7.21838	2.40168	4.76185	0	12.9713	4.15532	4.2413	10.1857	0	8.76677	11.7173	858.781	72.5953	3.78843	15.3352	3.51323	6.91964	905.613	3.46086	0	12.4153	3.2378	0	0	9.42359	10.295	1348.13	11.0933	0	18.0699	16.3637	294.06	3.95263	8.36242	0	0	7.29561	0	10.5103	0	0	0	3.43608	0	0	8.86867	0	0	0	0	18.0155	12.6343	0	0	6.51394	0	18.5572	16.0111	0	16	29.3201	0	0	0	4.91478	5.633	355.231	0	0	0	0	334.006	0	0	0	2.36011	0	0	6.08478	0	5.1157	10.517	0	5.60474	0	0	9.2056
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	92.911	0	48.5771	0	58.6099	197.554	2532.06	35.6326	0	0	1089.81	447.36	0	0	1149.52	0	62.1697	0	0	74.4796	0	0	94.6298	32.9663	0	1261.18	48.9808	0	2281.27	802.942	59.6409	74.3553	5.56481	39.4119	4138.4	0	0	245.181	66.7731	0	97.9972	44.7692	35.587	3185.6	0	131.144	46.0344	338.697	1773.17	377.091	0	84.9598	0	774.825	0	815.286	0	0	0	0	0	0	213.316	0	0	0	0	0	82.4427	822.292	0	0	0	77.2508	0	277.673	971.496	235.568	0	0	0	264.488	0	3102.42	2219.33	0	152.062	0	3511.45	0	0	137.955	154.129	0	68.9579	156.752	0	155.572	188.405	169.527	145.472	28.532	545.538	351.931
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18205	0	0	0	0	0	0	0	0	1.8138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121651	0	0	0	0	0	0	0	0	0	0	0	3.15438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59474	0	0	0	0	0	0
PWY-1042: glycolysis IV	12398.2	11471.3	12417.8	11070.4	14136.3	15206	7181.22	10851	13437.9	12675.4	9343.81	9758.83	14142.5	12178.8	16956.3	13272.7	14107.3	15237.7	12098.1	14303.7	12007.9	15979.4	14032.5	12881.9	14447.9	10272.4	13192.5	16553.6	8461.26	8145.68	11561.6	16149	11926.6	11537.1	6926.07	12192.7	13965.1	13096.6	12302.2	12318.1	12590.1	12239.9	9709.6	8603.46	16639.8	11071.4	12142.5	11837.9	10191.6	11085	11446.3	12454.8	11415	12314.7	12465.8	10699.7	11917.7	11218.9	12800.1	13117	12764.5	11904.8	12273.9	9773.99	10985.8	12581	15361	10719.4	13226.3	11372.1	13536.5	15644.1	13677.5	13407.5	10787.5	12950.8	10330.8	10936.2	11631.9	11766.7	10923.2	11243	11213.6	6520.2	9145.23	14986.3	10959.6	16292.1	9209.43	14137.4	12711.6	14177	11191.8	14682	14047.8	11711.7	12435	10309.3	10234.2	10190.1	10171.8	13241.2	16532.6	10567.3
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	1484.31	2771.37	2164.71	2817.26	3353.18	4028.75	2875.12	2237.01	2684.61	1524.5	1726.1	4644.76	1827.7	2507.76	9175.66	2307.95	2601.47	3110.44	2101.84	2380.58	2292.48	4206.3	669.008	904.71	2915.35	2372.16	1238.57	4972.77	3443.2	3042.74	2898.7	4867.03	2429.59	2602	3680.91	1996.32	776.674	697.608	2130.7	1976.48	1728.32	2346.28	3215.99	3903.64	5079.96	2481.97	1739.28	2456.85	2105.01	2202.5	1920.31	1488.04	1534.08	2033.81	1839.63	2756.37	1022.61	1236.22	1598.12	1844.61	2098.56	1898.16	2807.38	2515.07	1169.5	2371.42	4408.14	2426.79	1786.39	2804.64	4149.11	3585.9	1640.48	2463.55	2388.43	661.383	2889.81	2380.45	1744.86	2264.33	3216.37	2555.69	3471.94	5000.43	2847.92	3849.67	1879.22	4546.04	3025.09	3170.5	198.321	1491.36	3158.71	3273.53	347.174	2048.95	2317.73	3068.75	2322.52	705.158	2364.22	2086.44	5610.29	3389.86
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1407	0	0	0	0	0	0	0	3.03299	0	0	2.97115	0	0	0	0	120.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2	0	0	0	0	0
PWY-181: photorespiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.3577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0408	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	3089.23	1310.84	1296.9	464.349	2717.77	344.875	376.974	1253.36	1425.92	1184.38	1498.09	897.146	2306.22	909.66	12.3266	593.075	1698.5	1485.88	1522.18	2141.82	766.291	1253.56	2216.45	3014.53	1706.82	1136.73	2079.35	1235.08	629.879	1827.21	1091.35	1014.4	1095.31	1227.34	1928	961.137	1154.53	1630.23	1596.78	1368.03	1529.23	789.535	827.362	132.238	618.535	452.142	1369.04	900.455	526.028	1706.78	272.545	1882.04	52.6873	506.891	2862.51	1364.47	107.958	203.961	1336.28	938.239	1151.74	1132.71	581.22	164.338	117.588	878.611	1976.15	532.616	1307.2	379.988	594.808	1374.16	1132.88	283.708	190.901	98.0053	241.177	341.37	23.3458	1348.54	61.2787	474.248	798.061	679.22	251.147	343.351	163.723	458.074	27.9085	130.233	494.246	1087.01	666.274	227.197	171.425	193.677	436.842	129.204	146.667	593.68	196.521	1068.99	606.477	236.46
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0	0	0	0	0	0	486.918	0	0	0	56.6926	32.7708	0	0	0	0	0	1.78006	0	0	0	0	0	0	4.169	0	0	0	35.0787	57.9776	0	5.6145	0	0	0	0	0	0	5.41941	0	7.38919	0	0	0	0	0	9.84399	0	0	0	0	6.97897	7.86103	7.11714	0	0	11.9383	14.1332	0	0	0	0	0	18.8637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.801	0	81.9095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	1521.95	223.912	432.186	384.981	2427.79	979.25	3594.52	74.0808	61.6451	164.965	906.939	632.698	395.062	57.9569	1553.97	201.452	179.457	992.916	951.499	1695.14	76.038	738.28	217.964	3023.72	1301.31	1949.29	1560.53	622.814	3064.1	999.581	330.361	912.342	116.687	361.361	2832.91	737.879	267.31	1202.52	216.8	142.36	290.126	752.725	1037.19	2352.46	447.387	162.855	226.063	320.852	1381.76	263.862	1170.08	401.108	938.281	628.26	179.853	931.368	1187.7	900.435	278.336	401.504	600.47	196.975	237.188	648.381	1132.94	391.459	1652.23	267.414	143.802	874.986	156.63	788.261	244.25	131.936	300.506	896.328	968.317	771.292	359.172	144.414	371.284	512.267	155.441	174.273	2086.26	119.537	941.146	40.4811	1779.09	51.4867	152.634	282.695	676.717	93.3939	129.653	372.702	55.2016	407.653	416.106	750.031	638.728	50.4677	685.755	525.965
PWY-2941: L-lysine biosynthesis II	2057.64	2114.2	2691.06	2006.26	2029.73	1185.83	1072.58	2607.99	2948.02	1573.99	3563.99	5329.04	1294.37	2145.54	1755.18	1834.99	1223.6	1928.84	2450.29	2129.04	1985.68	2180.03	860.936	1604.52	2748.12	1361.24	1702.6	2194.53	3030.77	4238.25	1822.11	2281.19	1918.17	2094.17	2440.29	2785.84	3732.84	4283.85	2079.95	1993.82	1850.37	2342.5	7185.15	1271.82	1778.25	5123.3	2331.45	5387.79	2892.41	4892.12	3742.06	3614.09	3397.93	3572.06	1558.12	4326.7	3351.98	3334.96	2043.78	2238.44	2953.33	1656.77	2153.2	4197.02	3435.09	2767.3	1955.72	1924.58	2870.42	4277.35	2627.9	1754.87	4088.55	3414.7	2084.57	5493.34	2149.76	3650.56	2825.1	2308.53	3905.94	3329.67	3304.34	1717.19	1159.97	3442.35	4127.19	2673.11	8485.41	3142.85	5235.84	3336.71	3209.23	3361.76	5122.77	1729.97	3160.13	2802.99	1868.73	7627.66	2572.9	3510.53	2924.03	2504.72
PWY-2942: L-lysine biosynthesis III	8321.14	8139.06	9122.22	9195.82	8983.81	8448.55	5070.32	8108.38	8362.1	8513.91	9502.02	8405.21	8415.97	7922.1	9152.69	8747.82	8914.79	8684.85	8671.49	8708.98	8223.17	9288.37	8002.26	9366.54	8418.69	6669.9	8730.72	10346.2	6329.54	8046.67	10103.7	9737.2	8086.45	8905.14	6327.64	8826.1	8389.47	7594.96	8401.24	8381.26	8163.18	9189.64	7675.95	6442.69	10223.7	8113.71	8438.04	8063.18	7149.32	9117.92	8164.55	8729.55	8379.38	8291.77	8686.23	8144.43	8105.49	8686.53	8300.88	8405.77	8670.09	8156.9	8214.48	9250.68	8714.99	8007.69	9901.54	10003.5	8285.22	8971.49	9790.09	9119.63	8085.5	8732.98	10572.6	9718.28	8583.97	8335.73	8525.78	8631.48	9071.49	8277.55	8962.82	5382.07	6112.28	10018.6	8740.13	9441.91	8355.99	9208.76	9540.13	8086.91	8444.63	9339.17	10773.9	8959.68	8663.57	9355.51	10503.6	10224.4	10169.1	8093.35	9385.91	9715.66
PWY-3001: superpathway of L-isoleucine biosynthesis I	6943.53	6362.32	6573.41	5910.58	7892.48	7114.84	5365.97	6111.75	7082.1	6718.76	3984.88	6651.59	6704.02	6132.69	5115.3	7299.98	7254.33	7799.42	6683.97	8154.34	6606.01	7446.22	6526.36	7240.83	8158.21	5884.99	7160.34	7123.32	5345.35	6270.09	6439.01	6887.73	6387.79	6906.73	5013.02	6838.74	7554.05	7247.61	7124.61	7225.09	7085.08	6826.12	7114.91	4836.92	6612.03	7410.85	6803	7227.97	5934.89	7202.3	6569.66	7315.73	6518.31	6714.1	7031.66	6325.85	6948.68	6913.39	7615.87	7169.52	6945.91	7004.93	7130.73	6498.59	6723.66	7561.31	7142.63	5699.27	6563.5	5820.49	6740.16	7556.47	6726.77	7448.45	5417.85	4396.54	4997.46	6790.67	6877.81	6591.51	6095.53	6671.84	7182.63	4763.04	5123.53	6452.08	6661.9	7024.49	4835.39	7194.65	6430.16	6819.26	7370.3	6867.91	5582.52	5451.57	7031	5219.01	5079.34	5776.61	5403.73	6845.72	6362.1	5394.69
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.63699	0	1.95827	0	0	0	0	2.14299	1.46548	0	2.58927	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7115	0	0	0	0	0	0	13.9396	0	0	0	0	0	0	0	0	0.953468	0	0	0	0	0	0	0	0	0	7.11958	0	0	0	7.47189	0	0	0	0	0	0	11.1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	981.01	0	0	0	0	0	0	0	41.7382	11.588	0	0	0	0	0	0	0	0	0	0	0	0	619.418	11.3768	0	0	0	0	181.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.5608	0	0	0	43.7386	0	0	0	0	0	0	908.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II (plants)	10546.8	9603.59	10833.6	10552.8	9524.09	10944.1	5577.33	9236.21	10656.2	10083.5	10550	10090.3	10658.9	10273.9	10542.7	10109.2	10536.5	10413.4	9747.73	10049.8	10237.3	10475.4	10556	9757.68	10137.6	7773	9911.02	10507.8	6240.15	9318.61	11214.9	10484.5	9954.88	10226.7	7268.32	10165.3	9850.96	9761.64	10294	10394.6	10412.3	10844	9265.87	5250.73	11415.6	9391.67	10575.9	9152.91	8215.79	9626.58	9110.41	10186.8	10141.7	9982.87	10114.6	8594.53	10001.8	10331.2	10859.8	10744.6	11100.8	10583.9	10587.3	10544.1	10742.2	10868.8	9750.18	11691.7	10372.4	10905.8	11346.4	10702.3	9765.29	10339.1	13078.9	9700.15	9994.61	10637.3	10875.7	10426.3	10446.5	10450	12193.2	5075.5	6703.68	11227.8	10460.2	10924.7	7017.4	11000.9	10855.9	10092.5	10169.4	11022.6	11899.5	12002.4	11668.9	11320.2	12624.9	11501.2	12599	10439.2	10935.4	12179.4
PWY-4041: &gamma;-glutamyl cycle	2018.09	602.95	1859.51	766.291	956.132	726.577	3534.03	206.043	297.638	482.174	828.718	2495.37	1121.09	512.128	960.923	130.033	417.603	723.821	1814.92	1037.71	671.585	627.477	586.531	2320.46	905.531	1833.63	1764.21	606.603	2052.42	2075.92	2290.8	757.926	850.878	2288.71	2331.43	2004.26	433.211	1294.03	1262.58	1340.69	1395.09	2099.53	1317.48	3597.6	420.789	490.386	1356.83	730.633	1604.35	1245.09	1157.49	1402.9	819.733	1662.3	1316	1352.56	1063.75	748.496	916.764	898.128	1301.97	1124.14	2003.33	440.033	955.269	1159.8	831.421	703.68	1188.21	1815.18	1222.34	711.24	798.097	844.054	732.468	1790.23	1404.25	1593.84	326.947	1135.11	398.488	1065.1	971.539	2811.92	2020.28	712.592	785.871	1267.26	2669.38	677.884	3006.89	499.787	1412.47	700.079	5239.96	604.824	788.39	981.726	773.401	1421.82	826.812	1304.55	847.994	817.472
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	0	0	0	0	0	0	97.969	0	0	0	27.1179	24.8615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.11534	12.3646	0	0	0	0	81.5643	0	0	0	0	0	0	0	0	49.8952	0	0	0	0	0	0	0	0	0	0	0	3.68886	0	0	0	0	0	0	2.88074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4984: urea cycle	2763.59	4622.86	3283.94	5714.7	688.971	1761.52	18.1193	4193.01	3997.67	4290.31	85.9815	5897.06	3484.04	4559.66	63.4467	4039.09	2396.58	812.003	4915.43	864.627	4756.86	1195.38	2585.77	2424.45	838.266	2589.44	4300.58	1319.15	581.735	2863.67	4476.01	787.461	4436.74	4602.09	0	3607.66	350.427	249.618	3539.62	3642.85	3200.92	3490.35	2724.96	2571.15	745.17	2105.86	3458.44	1674.89	5066.55	4339	5677.77	3965.97	2613.74	1985.82	3697.16	626.352	2393.41	2289.58	2902.45	3247.03	3433.01	3168.44	5159.89	3066.23	2034.89	3743.21	886.216	3030.28	975.924	3999.35	2520.3	899.118	1347.62	2811.67	2761.02	2975.03	3492.17	2988.08	2880.48	3576.78	3852.45	3833.24	4994.42	109.148	738.711	3042.46	4557.03	2698.32	2688.08	3143.94	4786.52	1642.86	4199.97	3079.43	4195.34	3224.25	2496.51	3146.09	3206.19	5393.59	2724.65	739.589	1932.87	3108.75
PWY-5004: superpathway of L-citrulline metabolism	122.241	9.00634	145.466	196.376	16.6683	33.9725	0	1.96378	0	0	11.0276	8.99048	121.589	0	0	3.58874	136	0	47.3671	9.08163	260.488	7.1931	79.443	56.2331	7.36854	25.1452	30.1589	0	0	252.6	174.911	8.81926	273.026	103.43	0	126.338	0	0	183.542	163.331	165.032	119.688	107.208	0	0	0	168.43	0	11.2547	181.534	108.898	142.286	228.776	59.5588	85.1301	166.523	243.842	346.477	97.0642	75.615	157.428	135.664	0	246.433	180.025	112.613	0	87.0754	72.984	0	0	4.71292	94.2943	0	73.4175	15.4958	402.461	65.1972	225.428	65.2086	264.413	133.386	136.92	0	0	0	313.085	0	0	0	0	48.7359	37.2592	0	0	118.459	0	66.7435	122.57	0	143.899	65.2682	0	136.26
PWY-5005: biotin biosynthesis II	303.703	490.027	370.987	226.984	110.12	0	668.109	261.508	807.929	451.251	4003.78	491.573	513.051	654.474	0	393.751	522.475	292.971	791.348	258.741	404.195	309.446	425.676	249.289	306.145	201.562	371.639	279.959	237.08	277.844	460.978	174.219	804.483	454.571	323.48	404.907	9.98761	113.712	270.429	300.803	345.922	259.061	76.7156	257.696	224.246	676.561	482.278	700.846	223.542	280.271	67.3863	478.269	137.466	477.712	500.349	580.765	89.6801	163.496	185.234	179.932	322.887	435.156	323.597	239.448	197.847	217.833	72.1762	129.787	178.532	2178.14	1009.51	240.356	145.364	1017.53	264.505	325.003	266.378	283.839	239.556	435.869	214.141	65.2021	182.89	3046.05	1549.59	1391.88	443.261	813.881	348.552	425.659	1380.63	274.412	269.203	566.555	1526.19	266.458	978.485	326.376	248.16	578.325	269.813	278.76	713.827	316.973
PWY-5022: 4-aminobutanoate degradation V	412.582	334.355	973.143	42.4324	110.002	472.216	0	1689.4	560.964	121.301	30.4643	324.038	364.774	45.5257	0	229.086	44.0727	78.9821	117.424	98.007	68.9822	80.9278	140.872	529.774	116.224	1069.7	252.104	48.6321	0	716.613	353.749	110.27	82.3868	750.112	0	578.18	190.633	297.796	358.369	374.801	303.421	493.198	94.9083	0	21.4908	188.459	651.447	210.657	1151.61	171.214	127.289	605.613	241.816	254.743	676.491	407.315	282.965	302.343	124.856	516.342	448.858	261.398	124.005	99.7513	373.108	226.591	112.276	1142.64	748.933	650.235	274.218	85.811	768.368	237.652	717.381	560.401	713.303	927.268	281.108	926.668	213.872	402.131	115.93	0	513.467	200.532	177.633	191.831	0	196.761	62.0743	317.647	307.495	96.6251	128.822	676.062	257.918	971.124	1056.39	313.704	618.742	680.616	19.239	213.079
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	131.203	0	0	0	250.162	94.5709	0	0	8.44504	0	0	0	0	0	0	0	0	0	0	0	0	0	786.75	33.2319	0	25.881	0	0	2539.78	0	0	0	0	0	0	0	0	340.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81298	0	0	0	0	0	0	0	0	0	0	0	0	5.2918	0	0	0	0	240.793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	1180.94	4001.81	2367.17	5326.38	519.21	1678.48	201.708	4817.97	5559.43	4417.95	98.5004	4105.71	1900.13	4318.51	522.451	4240.96	2001.89	418.171	3175.02	477.378	4327.21	438.151	1962.86	1379.43	638.077	1998.7	1970.47	525.603	37.2733	2853.66	3301.73	359.635	4069.86	3116.63	30.4808	2686.94	1010.52	910.57	2300.95	2330.78	1849.54	3102.96	4320.89	378.961	514.161	3088.31	1955.78	3055.64	3217.78	4234.94	3789.94	1902.45	4029.31	2358.84	2231.75	2676.57	3622.3	3665.37	2050.95	2573.79	2514.31	2329	4115.55	3567.03	3209.63	3398.79	589.155	3480.51	2676.75	5806.08	3513.5	530.81	3702.75	3763.39	4030.66	6717.27	4151.73	2692.4	3733.28	2417	5543.98	3856.5	4508.94	102.595	538.869	3750.6	2997.93	3066.47	0	4230.73	6345.56	4496.7	3813.04	4390.23	7478.91	3825.09	3533.02	4429.71	4102	6901.67	3923.96	2678.31	2406.74	4391.75
PWY-5055: nicotinate degradation III	8.07503	0	0	0	0	0	0	30.8161	13.4018	0	0	9.79936	0	9.07458	0	0	0	0	0	0	6.65314	0	0	0	0	0	0	0	0	0	12.1621	0	23.1513	0	0	11.6112	6.79244	0	0	0	9.2787	0	5.5622	0	0	4.707	0	7.45702	0	6.40642	0	0	0	0	0	14.9996	0	13.0046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.98872	0	3.5274	0	0	0	0	0	0	0	9.57644	0	0	0	0	0	0	0	23.1614	0	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	18.3751	0	6.05552	0	167.099	1.43669	0	0	0	0	0	0	134.656	0	0	0	0	4.45185	0	3.68882	9.28371	0	0	6.16161	0	0	277.462	104.279	9.88695	0	0	14.8188	87.1777	12.6186	0	0	0	0	0	4.23456	0	0	0	0	0	0	0	0	0	4.63842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.492	0	0	0	0	27.1645	0	206.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.57729	0	0	0
PWY-5097: L-lysine biosynthesis VI	9136.35	8651.1	9347.02	9833.48	10445.2	9893.47	5051.27	8312.12	8804.07	8928.79	9137.08	8564.88	9125.65	8562.44	10469.9	9504.59	10088.8	10150.9	8965.27	9889.97	8755.8	10610.7	9933.01	9825.85	9834.39	7320.63	9411.93	11380.7	6422.74	8292.6	10193.4	10904.1	8684.52	9080.11	6197.8	9025.44	10053.7	9773.27	9569.73	9550.14	9650.69	9385.87	8299.84	6230.67	11305.6	8829.37	9594.87	8762.43	7691.13	9243.65	8589.88	9702.35	8798.91	8960.7	9599.75	8291.5	8873.17	9115.8	9622.66	9291.98	9239.78	9482.88	8540.86	9447.75	9589.76	8874.84	10883.9	10247.8	8887.47	9180.67	10503.5	10387.4	8790.11	9545.6	10912.5	9553.67	8885.85	9391.8	9151.35	9444.48	8692.1	8895.68	9320.47	5238.55	6361.02	10838.9	8941.55	10492.7	8274.49	10356.9	9509.45	8707.13	8734.27	10332.1	10152.8	9252.81	9504.32	9610.73	10699.5	10146.4	10521.4	9053.14	10540.4	9983.18
PWY-5100: pyruvate fermentation to acetate and lactate II	6358.72	3717.33	3618.75	3297.44	5079.35	4977.58	2897.87	3413.02	2700.89	4020.75	3783.27	1770.66	4824.93	3288.17	2335.63	4675.19	5801.25	4902.03	3914.37	5200.95	3531.78	5294.95	6864.24	5362.91	5074.49	4101.28	5394.86	4763.24	3539.54	2300.34	3480.8	5260.62	3614.55	3158.52	2920.1	4242.89	6329.76	5617.12	4495.92	4578.24	4688.37	3828.63	3525.1	2673.22	4396.54	5307.25	4778.34	5127.31	3812.2	4636.06	3536.76	5340.72	4432.71	4746.12	4712.24	3761.1	4828.76	4368.83	5308.86	4282.68	4231.86	4853.72	3212.02	4052.92	4857.54	3903.81	5066.16	3065.09	4068.46	1623.47	3249.69	5066.59	4383.53	3511.09	2909.05	1868.4	2248.94	4066.11	4301.34	5028.76	3279.79	4797.33	2952.84	1880.97	4081.68	3257.98	3830.26	3198.92	377.159	2668.27	2444.8	3844.4	3399.35	2724.24	1727.93	3193.23	2907.48	2161.7	2264.33	2876.05	2493.07	4559.32	3195.07	2305.68
PWY-5101: L-isoleucine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.53899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III	8903.18	7555.92	8542.39	8904.93	12570.8	11801.6	8053.23	7757.38	7773.61	7732.68	8126.84	8719.85	8518.17	7455.06	14422	9624.96	11172.4	12307.5	7064.33	11683.7	7526.02	13221.2	9736.66	10260	11513.7	7391.38	8636.03	13577.1	8739.51	8555.02	8472.43	13326.1	7451.83	8300.41	7541.75	8498.47	10222.4	9247.83	9189.39	9461	9241.96	7836.79	8582.1	5629.79	13459.7	8878.8	8711.37	8620.82	6378.07	7695.33	6939.92	9216.22	7897.31	7940.25	8817.77	8074.37	7679.48	8031.16	9310.86	8897.32	8928.91	9150.39	7185.39	8891.54	8132.4	8864.48	12998.2	7366.97	7755.77	5663.25	10825.4	12655.7	7108.79	9721.3	7029.55	5319.04	6672.63	7980.51	7882.06	10221.2	7841.59	8791.26	8233.73	4379.35	5723.72	11222.8	8298.34	12165.5	8172.38	11070.3	5914.15	6854.22	8199.08	11318.3	4696.65	6715.01	8415.76	7372.23	6795.76	8562.28	6836.49	8631.79	12766.7	7751.61
PWY-5104: L-isoleucine biosynthesis IV	23.3417	29.6496	77.9515	0	9.48533	4.83585	7.80891	5.51156	0	0	38.4101	302.068	4.92333	4.58858	130.792	4.5804	89.4819	0	0	0	0	16.9003	53.9661	10.9778	0	1253.67	43.8792	0	89.419	523.944	41.178	0	2.59676	30.7472	0	45.2725	9.79991	0	13.5596	13.0562	14.5306	25.4017	3.69023	257.519	0	7.50451	22.371	5.85617	382.128	67.8158	0	48.0193	0	0	14.9328	327.926	0	0	0	0	19.8941	1.60887	11.7481	4.49117	0	13.8215	31.8856	5.92743	0	164.934	18.5703	0	0	30.1798	0	311.82	333.556	66.5158	0	7.50734	0	149.835	40.3992	0	124.304	0	28.8286	0	0	0	9.32337	0	46.2724	0	0	6.98672	0	0	0	141.381	58.3149	0	0	9.92304
